timestamp,temperature_in_celsius
2016-12-26 12:31:27,17.1
2016-12-26 12:31:31,17.1
2016-12-26 12:31:32,17.1
2016-12-26 12:31:36,17.1
2016-12-26 12:31:38,17.1
2016-12-26 12:31:39,17.1
2016-12-26 12:31:41,17.1
2016-12-26 12:31:45,17.1
2016-12-26 12:31:49,17.1
2016-12-26 12:32:01,17.1
2016-12-26 12:32:08,17.1
2016-12-26 12:32:09,17.1
2016-12-26 12:32:13,17.1
2016-12-26 12:32:15,17.1
2016-12-26 12:32:21,17.1
2016-12-26 12:32:25,17.1
2016-12-26 12:32:25,17.1
2016-12-26 12:32:27,17.1
2016-12-26 12:32:46,17.1
2016-12-26 12:32:50,17.1
2016-12-26 12:32:57,17.1
2016-12-26 12:32:58,17.1
2016-12-26 12:33:00,17.1
2016-12-26 12:33:04,17.1
2016-12-26 12:33:05,17.1
2016-12-26 12:33:07,17.1
2016-12-26 12:33:08,17.1
2016-12-26 12:33:10,17.1
2016-12-26 12:33:11,17.1
2016-12-26 12:33:13,17.1
2016-12-26 12:33:15,17.1
2016-12-26 12:33:16,17.1
2016-12-26 12:33:18,17.1
2016-12-26 12:33:19,17.1
2016-12-26 12:33:19,17.1
2016-12-26 12:33:31,17.0
2016-12-26 12:34:03,17.0
2016-12-26 12:34:17,17.0
2016-12-26 12:34:17,17.0
2016-12-26 12:34:42,17.0
2016-12-26 12:34:43,17.0
2016-12-26 12:34:45,17.0
2016-12-26 12:34:46,17.0
2016-12-26 12:34:48,17.0
2016-12-26 12:34:49,17.0
2016-12-26 12:34:53,17.0
2016-12-26 12:34:55,17.0
2016-12-26 12:34:59,17.0
2016-12-26 12:35:03,17.0
2016-12-26 12:35:05,17.1
2016-12-26 12:35:06,17.0
2016-12-26 12:35:08,17.0
2016-12-26 12:35:09,17.1
2016-12-26 12:35:11,17.1
2016-12-26 12:35:13,17.0
2016-12-26 12:35:15,17.0
2016-12-26 12:35:23,17.1
2016-12-26 12:35:23,17.1
2016-12-26 12:35:31,17.0
2016-12-26 12:35:35,17.0
2016-12-26 12:35:39,17.1
2016-12-26 12:35:41,17.1
2016-12-26 12:35:42,17.1
2016-12-26 12:35:49,17.1
2016-12-26 12:35:50,17.1
2016-12-26 12:35:52,17.1
2016-12-26 12:36:00,17.1
2016-12-26 12:36:01,17.1
2016-12-26 12:36:05,17.1
2016-12-26 12:36:07,17.1
2016-12-26 12:36:08,17.1
2016-12-26 12:36:10,17.1
2016-12-26 12:36:17,17.1
2016-12-26 12:36:26,17.2
2016-12-26 12:36:26,17.2
2016-12-26 12:36:27,17.2
2016-12-26 12:36:29,17.1
2016-12-26 12:36:32,17.1
2016-12-26 12:36:36,17.2
2016-12-26 12:36:38,17.2
2016-12-26 12:36:39,17.2
2016-12-26 12:36:41,17.2
2016-12-26 12:36:42,17.2
2016-12-26 12:36:59,17.2
2016-12-26 12:37:01,17.2
2016-12-26 12:37:02,17.2
2016-12-26 12:37:04,17.3
2016-12-26 12:37:07,17.2
2016-12-26 12:37:14,17.2
2016-12-26 12:37:15,17.2
2016-12-26 12:37:24,17.3
2016-12-26 12:37:26,17.3
2016-12-26 12:37:26,17.3
2016-12-26 12:37:28,17.3
2016-12-26 12:37:29,17.3
2016-12-26 12:37:32,17.3
2016-12-26 12:37:33,17.3
2016-12-26 12:37:37,17.3
2016-12-26 12:37:39,17.3
2016-12-26 12:37:45,17.3
2016-12-26 12:37:49,17.3
2016-12-26 12:37:51,17.3
2016-12-26 12:37:53,17.3
2016-12-26 12:37:59,17.4
2016-12-26 12:38:06,17.3
2016-12-26 12:38:08,17.4
2016-12-26 12:38:12,17.3
2016-12-26 12:38:16,17.4
2016-12-26 12:38:17,17.4
2016-12-26 12:38:20,17.4
2016-12-26 12:38:22,17.4
2016-12-26 12:38:24,17.4
2016-12-26 12:38:25,17.4
2016-12-26 12:38:25,17.4
2016-12-26 12:38:27,17.4
2016-12-26 12:38:31,17.4
2016-12-26 12:38:35,17.4
2016-12-26 12:38:39,17.4
2016-12-26 12:38:46,17.4
2016-12-26 12:38:50,17.4
2016-12-26 12:38:54,17.4
2016-12-26 12:39:00,17.4
2016-12-26 12:39:01,17.4
2016-12-26 12:39:03,17.4
2016-12-26 12:39:04,17.4
2016-12-26 12:39:06,17.4
2016-12-26 12:39:07,17.4
2016-12-26 12:39:09,17.4
2016-12-26 12:39:15,17.5
2016-12-26 12:39:17,17.4
2016-12-26 12:39:18,17.5
2016-12-26 12:39:20,17.5
2016-12-26 12:39:21,17.5
2016-12-26 12:39:23,17.4
2016-12-26 12:39:24,17.4
2016-12-26 12:39:24,17.4
2016-12-26 12:39:31,17.5
2016-12-26 12:39:33,17.4
2016-12-26 12:39:35,17.5
2016-12-26 12:39:39,17.5
2016-12-26 12:39:43,17.5
2016-12-26 12:39:47,17.5
2016-12-26 12:39:48,17.5
2016-12-26 12:39:53,17.5
2016-12-26 12:39:55,17.5
2016-12-26 12:39:59,17.5
2016-12-26 12:40:01,17.5
2016-12-26 12:40:05,17.5
2016-12-26 12:40:09,17.5
2016-12-26 12:40:13,17.5
2016-12-26 12:40:14,17.5
2016-12-26 12:40:21,17.5
2016-12-26 12:40:22,17.5
2016-12-26 12:40:24,17.5
2016-12-26 12:40:26,17.5
2016-12-26 12:40:26,17.5
2016-12-26 12:40:27,17.5
2016-12-26 12:40:29,17.5
2016-12-26 12:40:30,17.6
2016-12-26 12:40:32,17.5
2016-12-26 12:40:34,17.6
2016-12-26 12:40:35,17.6
2016-12-26 12:40:39,17.6
2016-12-26 12:40:41,17.6
2016-12-26 12:40:42,17.6
2016-12-26 12:40:44,17.6
2016-12-26 12:40:46,17.6
2016-12-26 12:40:47,17.6
2016-12-26 12:40:50,17.6
2016-12-26 12:40:51,17.6
2016-12-26 12:40:53,17.6
