timestamp,relative_humidity
2016-12-26 12:31:27,38.1
2016-12-26 12:31:31,38.1
2016-12-26 12:31:32,38.0
2016-12-26 12:31:36,38.0
2016-12-26 12:31:38,38.0
2016-12-26 12:31:39,38.0
2016-12-26 12:31:41,38.0
2016-12-26 12:31:45,38.0
2016-12-26 12:31:49,38.0
2016-12-26 12:32:01,37.9
2016-12-26 12:32:08,37.9
2016-12-26 12:32:09,38.0
2016-12-26 12:32:13,38.0
2016-12-26 12:32:15,37.9
2016-12-26 12:32:21,37.9
2016-12-26 12:32:25,37.8
2016-12-26 12:32:25,37.8
2016-12-26 12:32:27,37.8
2016-12-26 12:32:46,38.2
2016-12-26 12:32:50,38.3
2016-12-26 12:32:57,38.1
2016-12-26 12:32:58,38.2
2016-12-26 12:33:00,38.1
2016-12-26 12:33:04,38.0
2016-12-26 12:33:05,37.9
2016-12-26 12:33:07,37.9
2016-12-26 12:33:08,37.8
2016-12-26 12:33:10,37.8
2016-12-26 12:33:11,37.8
2016-12-26 12:33:13,37.8
2016-12-26 12:33:15,37.8
2016-12-26 12:33:16,37.8
2016-12-26 12:33:18,37.8
2016-12-26 12:33:19,37.8
2016-12-26 12:33:19,37.8
2016-12-26 12:33:31,37.6
2016-12-26 12:34:03,37.8
2016-12-26 12:34:17,38.0
2016-12-26 12:34:17,38.0
2016-12-26 12:34:42,37.8
2016-12-26 12:34:43,37.9
2016-12-26 12:34:45,37.9
2016-12-26 12:34:46,37.8
2016-12-26 12:34:48,37.9
2016-12-26 12:34:49,37.9
2016-12-26 12:34:53,37.9
2016-12-26 12:34:55,37.9
2016-12-26 12:34:59,38.1
2016-12-26 12:35:03,38.0
2016-12-26 12:35:05,38.2
2016-12-26 12:35:06,38.1
2016-12-26 12:35:08,37.8
2016-12-26 12:35:09,38.2
2016-12-26 12:35:11,38.2
2016-12-26 12:35:13,38.1
2016-12-26 12:35:15,38.1
2016-12-26 12:35:23,38.2
2016-12-26 12:35:23,38.2
2016-12-26 12:35:31,38.0
2016-12-26 12:35:35,38.1
2016-12-26 12:35:39,38.2
2016-12-26 12:35:41,38.2
2016-12-26 12:35:42,38.2
2016-12-26 12:35:49,38.3
2016-12-26 12:35:50,38.4
2016-12-26 12:35:52,38.4
2016-12-26 12:36:00,38.4
2016-12-26 12:36:01,38.6
2016-12-26 12:36:05,38.6
2016-12-26 12:36:07,38.6
2016-12-26 12:36:08,38.6
2016-12-26 12:36:10,38.5
2016-12-26 12:36:17,38.6
2016-12-26 12:36:26,38.7
2016-12-26 12:36:26,38.7
2016-12-26 12:36:27,38.7
2016-12-26 12:36:29,38.0
2016-12-26 12:36:32,38.7
2016-12-26 12:36:36,38.8
2016-12-26 12:36:38,38.8
2016-12-26 12:36:39,38.8
2016-12-26 12:36:41,38.8
2016-12-26 12:36:42,38.8
2016-12-26 12:36:59,38.8
2016-12-26 12:37:01,38.8
2016-12-26 12:37:02,38.8
